Informes Policiales de Accidentes de Tránsito (IPAT) ,Fecha del Accidente,Dirección,Latitud,Longitud,Barrio,Comuna,Corregimiento,Género,Hora,Gravedad,Clase de Accidente,Choque Con,Clase de Vehículo 1,Servicio,Hipótesis,Gravedad Conductor,Embriaguez,Grado,Clase de Vehículo 2,Servicio 2,Hipótesis 2,Gravedad Conductor 2,Embriaguez 2,Grado 2,Motocicleta,Mes
A0008244654,2019-01-02T05:00:00Z,CALLE 4 3 59,"4.345702, -74.360024","4°20'44.5""N 74°21'36.1""W",EMILIO SIERRA,CENTRO,N/A,MASCULINO,1899-12-31T09:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PUBLICO,134.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,134.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024278,2019-01-03T05:00:00Z,CARRERA 7 CON CALLE 10,"4.341118, -74.362244","4°20'28.0""N 74°21'44.1""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T07:40:00Z,HERIDOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,112.0,HERIDO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,112.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024279,2019-01-04T05:00:00Z,CARRERA 3 22 17,"4.326920, -74.364538","4°19'36.9""N 74°21'52.3""W",FUSACATAN,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T06:20:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,VOLQUETA,PUBLICO,123.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,123.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024280,2019-01-04T05:00:00Z,CALLE 25 48 50,"4.327617, -74.392086","4°19'39.4""N 74°23'31.5""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T16:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,121.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,121.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024281,2019-01-05T05:00:00Z,TRANSVERSAL 12 ANTIGUA PANAMERICANA,0,0,Sin Informacion,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T07:45:00Z,SOLO DAÑOS,CHOQUE,OTROS,VEHÍCULOESTACIONADO,PARTICULAR,134.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,134.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024282,2019-01-06T05:00:00Z,CARRERA 6 23 01,"4.327056, -74.368038","4°19'37.4""N 74°22'04.9""W",BONANZA,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T10:35:00Z,SOLO DAÑOS,CHOQUE,OTROS,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,enero
A001024284,2019-01-06T05:00:00Z,CALLE 22 AL FRENTE ALMACEN EXITO,"4.333091, -74.369840","4°19'59.1""N 74°22'11.4""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T08:26:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMPERO,PARTICULAR,157.0,ILESO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024283,2019-01-07T05:00:00Z,CARRERA 2 CON CALLE 24,"4.325219, -74.363462","4°19'30.8""N 74°21'48.5""W",FUSACATAN,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T06:30:00Z,HERIDOS,ATROPELLO,OTROS,MOTOCICLETA,PARTICULAR,157.0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,enero
A001027285,2019-01-09T05:00:00Z,TRANSVERSAL 12 16 61,"4.337975, -74.364766","4°20'16.7""N 74°21'53.2""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T10:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,141.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024286,2019-01-10T05:00:00Z,VIA FUSAGASUGA PASCA 0+500,0,0,Sin Informacion,ORIENTAL,N/A,MASCULINO,1899-12-31T08:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,TRACTOCAMIÓN,PUBLICO,157.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024287,2019-01-10T05:00:00Z,CALLE 16A BIS 15 68,"4.339268, -74.366323","4°20'21.4""N 74°21'58.8""W",SANTA ANITA,OCCIDENTAL,N/A,MASCULINO,1899-12-31T07:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,141.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,141.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024288,2019-01-10T05:00:00Z,AV LAS PALMAS 12 23,"4.341347, -74.365539","4°20'28.9""N 74°21'55.9""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T10:20:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,134.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,134.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024289,2019-01-10T05:00:00Z,VIA FUSAGASUGA LA AGUADITA,0,0,SAN ANTONIO,NORTE,N/A,MASCULINO,1899-12-31T09:35:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIÓN,PUBLICO,157.0,ILESO,NO,Sin Informacion,CAMIÓN,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001050951,2019-01-17T05:00:00Z,CRA 27 4 71,"4.323111, -74.364137","4°19'23.2""N 74°21'50.9""W",SAN FERNANDO,SUR ORIENTAL,N/A,MASCULINO,1900-01-01T00:46:16Z,HERIDOS,CHOQUE,VEHÍCULO,CAMPERO,PARTICULAR,115.0,HERIDO,SI,POSITIVA,CAMIONETA,PUBLICO,0,HERIDO,SI,NEGATIVA,Sin Informacion,enero
A001024290,2019-01-18T05:00:00Z,CARRERA 12 7A 54,"4.344112, -74.365910","4°20'38.8""N 74°21'57.3""W",LUXEMBURGO,CENTRO,N/A,MASCULINO,1899-12-31T07:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMPERO,PARTICULAR,154.0,ILESO,NO,Sin Informacion,CAMIÓN,PUBLICO,154.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
